iter	Passed	Remaining
421	17770	15917
422	17809	15872
423	17844	15824
424	17880	15777
425	17917	15730
426	17954	15684
427	17997	15642
428	18035	15597
429	18071	15550
430	18109	15504
431	18155	15465
432	18196	15423
433	18232	15376
434	18267	15327
435	18306	15283
436	18346	15239
437	18382	15192
438	18427	15153
439	18465	15108
440	18507	15066
441	18546	15022
442	18587	14978
443	18627	14935
444	18663	14888
445	18701	14844
446	18743	14801
447	18778	14754
448	18813	14707
449	18853	14663
450	18889	14617
451	18926	14571
452	18963	14525
453	19000	14480
454	19035	14433
455	19072	14388
456	19110	14343
457	19146	14297
458	19184	14252
459	19222	14207
460	19265	14167
461	19299	14119
462	19337	14075
463	19376	14031
464	19414	13986
465	19455	13944
466	19494	13900
467	19534	13857
468	19575	13815
469	19613	13771
470	19651	13727
471	19689	13682
472	19728	13638
473	19767	13595
474	19802	13549
475	19842	13506
476	19880	13461
477	19919	13418
478	19957	13374
479	19993	13329
480	20030	13283
481	20067	13239
482	20104	13195
483	20138	13148
484	20177	13104
485	20214	13060
486	20251	13016
487	20289	12972
488	20323	12925
489	20360	12881
490	20398	12837
491	20439	12795
492	20476	12750
493	20514	12707
494	20556	12666
495	20591	12620
496	20631	12578
497	20670	12535
498	20706	12490
499	20745	12447
500	20788	12406
501	20823	12361
502	20859	12316
503	20894	12271
504	20934	12228
505	20973	12186
506	21009	12141
507	21046	12097
508	21084	12054
509	21125	12012
510	21161	11967
511	21200	11925
512	21237	11881
513	21273	11837
514	21309	11792
515	21347	11749
516	21382	11704
517	21422	11662
518	21463	11620
519	21501	11577
520	21541	11535
521	21580	11492
522	21618	11449
523	21658	11407
524	21697	11365
525	21735	11322
526	21774	11279
527	21810	11235
528	21850	11193
529	21887	11150
530	21923	11106
531	21961	11063
532	21999	11020
533	22035	10976
534	22073	10933
535	22113	10891
536	22155	10850
537	22192	10807
538	22229	10764
539	22264	10720
540	22303	10677
541	22343	10636
542	22382	10593
543	22416	10549
544	22452	10505
545	22489	10462
546	22528	10419
547	22570	10379
548	22608	10336
549	22644	10292
550	22681	10249
551	22719	10207
552	22761	10166
553	22800	10124
554	22838	10081
555	22877	10039
556	22913	9996
557	22950	9953
558	22993	9913
559	23035	9872
560	23075	9830
561	23116	9789
562	23152	9746
563	23188	9702
564	23225	9660
565	23260	9616
566	23299	9574
567	23335	9531
568	23373	9488
569	23411	9446
570	23452	9405
571	23489	9362
572	23527	9320
573	23567	9279
574	23607	9237
575	23645	9195
576	23682	9152
577	23719	9110
578	23758	9068
579	23795	9025
580	23832	8983
581	23869	8940
582	23909	8899
583	23951	8858
584	23991	8817
585	24033	8776
586	24075	8736
587	24113	8694
588	24151	8651
589	24190	8610
590	24228	8567
591	24266	8526
592	24306	8484
593	24343	8442
594	24382	8400
595	24423	8359
596	24462	8318
597	24503	8277
598	24545	8236
599	24585	8195
600	24623	8153
601	24665	8112
602	24701	8070
603	24740	8028
604	24781	7987
605	24822	7946
606	24862	7905
607	24904	7864
608	24946	7823
609	24983	7781
610	25021	7739
611	25069	7700
612	25105	7658
613	25142	7616
614	25179	7574
615	25220	7533
616	25256	7491
617	25298	7450
618	25337	7408
619	25372	7366
620	25409	7324
621	25448	7282
622	25483	7240
623	25522	7198
624	25562	7157
625	25601	7115
626	25637	7073
627	25675	7032
628	25713	6990
629	25750	6948
630	25788	6906
631	25827	6865
632	25865	6823
633	25907	6783
634	25951	6743
635	25988	6701
636	26028	6660
637	26069	6619
638	26103	6576
639	26139	6534
640	26180	6493
641	26219	6452
642	26257	6411
643	26296	6370
644	26334	6328
645	26375	6287
646	26410	6245
647	26447	6203
648	26485	6162
649	26524	6120
650	26565	6080
651	26599	6038
652	26637	5996
653	26675	5955
654	26713	5913
655	26755	5873
656	26798	5832
657	26835	5791
658	26874	5750
659	26910	5708
660	26947	5666
661	26991	5626
662	27030	5585
663	27066	5543
664	27107	5503
665	27140	5460
666	27182	5420
667	27221	5379
668	27261	5338
669	27295	5296
670	27333	5254
671	27372	5213
672	27411	5172
673	27444	5130
674	27484	5089
675	27522	5048
676	27566	5008
677	27605	4967
678	27641	4925
679	27677	4884
680	27718	4843
681	27755	4802
682	27792	4760
683	27832	4720
684	27869	4678
685	27905	4637
686	27946	4596
687	27981	4555
688	28022	4514
689	28058	4473
690	28101	4432
691	28139	4391
692	28179	4350
693	28220	4310
694	28258	4269
695	28295	4228
696	28332	4186
697	28372	4146
698	28408	4104
699	28448	4064
700	28486	4023
701	28523	3981
702	28564	3941
703	28606	3900
704	28642	3859
705	28687	3819
706	28728	3779
707	28768	3738
708	28805	3697
709	28845	3656
710	28882	3615
711	28921	3574
712	28958	3533
713	28995	3492
714	29034	3451
715	29074	3410
716	29111	3369
717	29145	3328
718	29181	3287
719	29221	3246
720	29262	3206
721	29300	3165
722	29340	3124
723	29379	3083
724	29418	3043
725	29457	3002
726	29496	2961
727	29540	2921
728	29580	2880
729	29620	2840
730	29658	2799
731	29695	2758
732	29732	2717
733	29774	2677
734	29813	2636
735	29852	2595
736	29890	2555
737	29928	2514
738	29967	2473
739	30002	2432
740	30041	2391
741	30082	2351
742	30117	2310
743	30157	2269
744	30194	2229
745	30235	2188
746	30271	2147
747	30309	2107
748	30351	2066
749	30386	2025
750	30430	1985
751	30473	1945
752	30510	1904
753	30549	1863
754	30592	1823
755	30633	1782
756	30674	1742
757	30711	1701
758	30748	1660
759	30787	1620
760	30824	1579
761	30861	1539
762	30899	1498
763	30937	1457
764	30975	1417
765	31017	1376
766	31055	1336
767	31093	1295
768	31132	1255
769	31168	1214
770	31206	1173
771	31245	1133
772	31283	1092
773	31322	1052
774	31361	1011
775	31401	971
776	31437	930
777	31477	890
778	31517	849
779	31561	809
780	31597	768
781	31635	728
782	31674	687
783	31712	647
784	31750	606
785	31795	566
786	31836	525
787	31871	485
788	31910	444
789	31951	404
790	31988	363
791	32027	323
792	32073	283
793	32111	242
794	32148	202
795	32192	161
796	32232	121
797	32273	80
798	32309	40
799	32349	0
